На 01 января 2015 года;;;;;;;;;;;;;
Листинг;Дата включения в список;Эмитент;ИНН;Ценная бумага;Тип ценной бумаги;Гос. рег. номер;Дата регистрации;Номинал;Объем;Торговый код;Дата погашения;Дата начала торгов;Предназначение для квалинвесторов
Первый уровень;09.06.2014;ЗАО «Эмпайр Траст»;7705539531;ипотечные сертификаты участия с ипотечным покрытием «Прайм ипотека»;Ипотечный сертификат участия;0006;27.12.2013;;1 000 000;RU000A0JUKF1;;;
Первый уровень;09.06.2014;"""Запсибкомбанк"" ОАО";7202021856;документарные процентные неконвертируемые Биржевые облигации на предъявителя с обязательным централизованным хранением серии БО-03 c возможностью досрочного погашения по требованию владельцев облигаций;Облигация биржевая;4B020300918B;30.05.2011;1000;2 000 000;RU000A0JTPS5;25.02.2016;;
Первый уровень;09.06.2014;"КБ ""ЛОКО-Банк"" (ЗАО)";7750003943;Процентные документарные неконвертируемые облигации на предъявителя серии 05 с обязательным централизованным хранением, с возможностью досрочного погашения;Облигация корпоративная;40402707B;31.05.2010;1000;2 500 000;RU000A0JQYJ2;23.07.2015;;
Первый уровень;09.06.2014;"КБ ""ЛОКО-Банк"" (ЗАО)";7750003943;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-05;Облигация биржевая;4B020502707B;20.06.2013;1000;3 000 000;RU000A0JU153;17.07.2018;;
Первый уровень;09.06.2014;"КБ ""ЛОКО-Банк"" (ЗАО)";7750003943;документарные процентные неконвертируемые биржевые облигации на предъявителя с обязательным централизованным хранением серии БО-03, c возможностью досрочного погашения по требованию владельцев и по усмотрению Эмитента;Облигация биржевая;4B020302707B;14.01.2011;1000;3 000 000;RU000A0JSRR5;11.08.2015;;
Первый уровень;09.06.2014;"КБ ""ЛОКО-Банк"" (ЗАО)";7750003943;документарные процентные неконвертируемые биржевые облигации на предъявителя с обязательным централизованным хранением серии БО-02;Облигация биржевая;4B020202707B;14.01.2011;1000;4 000 000;RU000A0JTMR4;11.02.2016;;
Первый уровень;09.06.2014;"КБ ""МИА"" (ОАО)";7703247043;биржевые облигации неконвертируемые процентные документарные на предъявителя с обязательным централизованным хранением серии БО-01 c возможностью досрочного погашения по требованию их владельцев,  размещаемые путем открытой подписки;Облигация биржевая;4B020103344B;28.12.2011;1000;1 500 000;RU000A0JU9D9;06.11.2016;;
Первый уровень;09.06.2014;"КБ ""МИА"" (ОАО)";7703247043;Документарные процентные неконвертируемые облигации на предъявителя, с ипотечным покрытием и обеспечением, с возможностью досрочного погашения по требованию владельцев, серии 04 с обязательным централизованным хранением;Облигация корпоративная;40403344B;02.08.2007;1000;2 000 000;RU000A0JPFF1;01.10.2015;;
Первый уровень;09.06.2014;"КБ ""Ренессанс Кредит"" (ООО)";7744000126;документарные процентные неконвертируемые биржевые облигации на предъявителя  с обязательным централизованным хранением серии БО-02;Облигация биржевая;4B020203354B;30.07.2010;1000;2 000 000;RU000A0JSJW2;09.08.2015;;
Первый уровень;09.06.2014;"КБ ""Ренессанс Кредит"" (ООО)";7744000126;неконвертируемые процентные документарные биржевые облигации на предъявителя серии БО-05 с обязательным централизованным хранением;Облигация биржевая;4B020503354B;08.04.2013;1000;3 000 000;RU000A0JU1P0;30.07.2018;;
Первый уровень;09.06.2014;КБ «РМБ» ЗАО;7750004111;биржевые   облигации документарные процентные неконвертируемые на предъявителя серии БО-01 с обязательным централизованным хранением;Облигация биржевая;4B020103123B;22.08.2011;1000;1 900 000;RU000A0JU9X7;14.11.2016;;
Первый уровень;09.06.2014;КБ «СДМ-БАНК» (ОАО);7733043350;процентные документарные неконвертируемые облигации на предъявителя серии 01 с обязательным централизованным хранением;Облигация корпоративная;40101637B;14.03.2012;1000;1 500 000;RU000A0JTQ16;01.03.2016;;
Первый уровень;09.06.2014;Министерство управления финансами Самарской области;6315802231;государственные облигации Самарской области 2012 года в форме документарных ценных бумаг на предъявителя с постоянным купонным доходом и амортизацией долга;Облигация муниципальная;RU35008SAM0;09.06.2012;1000;15 000 000;RU000A0JS9J0;13.12.2017;;
Первый уровень;09.06.2014;Министерство управления финансами Самарской области;6315802231;государственные облигации Самарской области 2013 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35009SAM0;18.07.2013;1000;8 300 000;RU000A0JU2H5;31.07.2020;;
Первый уровень;09.06.2014;Министерство управления финансами Самарской области;6315802231;облигации Самарского областного внутреннего облигационного займа 2011 года в форме документарных ценных бумаг на предъявителя с обязательным централизованным хранением (учетом) с постоянным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35007SAM0;20.05.2011;1000;12 200 000;RU000A0JRJF9;30.11.2016;;
Первый уровень;09.06.2014;Министерство финансов Калужской области;4027064190;Государственные облигации Калужской области 2011 года с фиксированным купоном и амортизацией долга;Облигация субфедеральная;RU34005KLG0;16.05.2011;1000;2 500 000;RU000A0JRHN7;19.05.2016;;
Первый уровень;09.06.2014;Министерство финансов Республики Карелия;1001040590;Государственные облигации Республики Карелия 2012 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34015KAR0;12.10.2012;1000;1 500 000;RU000A0JT7L9;22.10.2017;;
Первый уровень;09.06.2014;Министерство финансов Республики Карелия;1001040590;Государственные облигации Республики Карелия в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом  и амортизацией долга;Облигация субфедеральная;RU34013KAR0;11.06.2010;1000;2 000 000;RU000A0JQX51;18.06.2015;;
Первый уровень;09.06.2014;Министерство финансов Республики Карелия;1001040590;Государственные облигации Республики Карелия 2011 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34014KAR0;18.11.2011;1000;1 000 000;RU000A0JRYA9;30.11.2016;;
Первый уровень;09.06.2014;Министерство финансов Республики Карелия;1001040590;государственные облигации Республики Карелия 2013 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34016KAR0;19.07.2013;1000;2 000 000;RU000A0JU1V8;29.10.2018;;
Первый уровень;09.06.2014;Министерство финансов Республики Марий Эл;1200000874;государственные облигации Республики Марий Эл 2012 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34006MAR0;24.09.2012;1000;1 500 000;RU000A0JT361;04.10.2015;;
Первый уровень;09.06.2014;Министерство финансов Республики Саха (Якутия);1435027673;облигации государственного займа Республики Саха (Якутия) в форме документарных ценных бумаг на предъявителя с фиксированным купоном и амортизацией долга;Облигация субфедеральная;RU35005RSY0;12.04.2013;1000;2 500 000;RU000A0JTVM6;24.04.2018;;
Первый уровень;09.06.2014;Министерство финансов Республики Саха (Якутия);1435027673;Облигации государственного займа Республики Саха (Якутия) с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35003RSY0;10.05.2011;1000;2 500 000;RU000A0JRHB2;20.05.2016;;
Первый уровень;09.06.2014;Министерство финансов Республики Саха (Якутия);1435027673;облигации государственного займа Республики Саха (Якутия) в форме документарных ценных бумаг на предъявителя с фиксированным купоном и амортизацией долга;Облигация субфедеральная;RU35004RSY0;02.05.2012;1000;2 500 000;RU000A0JS850;17.05.2017;;
Первый уровень;09.06.2014;Министерство финансов Республики Хакасия;1901019947;государственные облигации Республики Хакасия 2013 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35003HAK0;11.10.2013;1000;3 000 000;RU000A0JU8R1;27.10.2020;;
Первый уровень;09.06.2014;Министерство финансов Республики Хакасия;1901019947;Государственные облигации Республики Хакасия 2012 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34002HAK0;24.07.2012;1000;2 000 000;RU000A0JSQR7;09.08.2015;;
Первый уровень;09.06.2014;Министерство финансов Свердловской области;6661004608;Государственные облигации Свердловской области 2011 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34001SVS0;24.11.2011;1000;3 000 000;RU000A0JS009;11.12.2016;;
Первый уровень;09.06.2014;Министерство финансов Свердловской области;6661004608;Государственные облигации Свердловской области 2012 года с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34002SVS0;26.11.2012;1000;3 000 000;RU000A0JTDZ6;04.12.2017;;
Первый уровень;09.06.2014;Министерство финансов Тульской области;7107030748;государственные облигации Тульской области 2013 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34003TUL0;12.11.2013;1000;5 000 000;RU000A0JUAC9;18.05.2017;;
Первый уровень;09.06.2014;Министерство финансов Тульской области;7107030748;Государственные облигации Тульской области 2012 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34002TUL0;14.09.2012;1000;5 000 000;RU000A0JT1G2;25.09.2015;;
Первый уровень;09.06.2014;Минфин Волгоградской области;3444130624;государственные облигации Волгоградской области с фиксированным купоном и амортизацией долга;Облигация субфедеральная;RU35003VLO0;26.04.2013;1000;5 000 000;RU000A0JTXF6;14.06.2018;;
Первый уровень;09.06.2014;Минфин Волгоградской области;3444130624;государственные долгосрочные облигации Волгоградской области с фиксированным купоном и амортизацией долга;Облигация субфедеральная;RU35002VLO0;20.04.2012;1000;5 000 000;RU000A0JS7P1;28.05.2017;;
Первый уровень;09.06.2014;Минфин Волгоградской области;3444130624;государственные облигации Волгоградской области с фиксированным купоном и амортизацией долга;Облигация субфедеральная;RU35004VLO0;23.09.2013;1000;2 000 000;RU000A0JU6P9;01.11.2018;;
Первый уровень;09.06.2014;Минфин Волгоградской области;3444130624;государственные среднесрочные облигации Волгоградской области с фиксированным купоном и амортизацией долга;Облигация субфедеральная;RU34005VLO0;03.05.2011;1000;3 000 000;RU000A0JRGR0;04.05.2016;;
Первый уровень;09.06.2014;Минфин КК;2308040000;государственные облигации Краснодарского края 2012 года с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34004KND0;02.11.2012;1000;12 000 000;RU000A0JTBA3;09.11.2017;;
Первый уровень;09.06.2014;Минфин Нижегородской области;5200000021;Государственные облигации Нижегородской области с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34008NJG0;16.08.2012;1000;8 000 000;RU000A0JSVD7;29.08.2017;;
Первый уровень;09.06.2014;Минфин Нижегородской области;5200000021;государственные облигации Нижегородской области с фиксированным купоном и амортизацией долга;Облигация субфедеральная;RU34006NJG0;07.09.2010;1000;5 000 000;RU000A0JR2H0;07.10.2015;;
Первый уровень;09.06.2014;Минфин Нижегородской области;5200000021;государственные облигации Нижегородской области с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34009NJG0;16.08.2013;1000;10 000 000;RU000A0JU3B6;26.08.2020;;
Первый уровень;09.06.2014;Минфин Нижегородской области;5200000021;государственные облигации Нижегородской области с фиксированным купоном и амортизацией долга;Облигация субфедеральная;RU34007NJG0;10.11.2011;1000;8 000 000;RU000A0JRWA3;16.11.2016;;
